Country,Bank,BankName value,Schemes
AT,Easybank,at-easybank-ob,SEPA_CREDIT_TRANSFER
AT,Bank Austria,at-bankaustria-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,BAWAG P.S.K.,at-bawagpsk-ob,SEPA_CREDIT_TRANSFER
AT,BKS Bank,at-bks-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,BTV,at-btv-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Erste Bank,at-erstebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,N26,at-n26-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Oberbank,at-oberbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Raiffeisen Bank,at-raiffeisen-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Revolut,at-revolut-ob,SEPA_CREDIT_TRANSFER
AT,Volksbank Kärnten,at-volksbank-karnten-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Niederösterreich,at-volksbank-niederosterreich-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Oberösterreich,at-volksbank-oberosterreich-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Salzburg,at-volksbank-salzburg-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Steiermark,at-volksbank-steiermark-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Tirol,at-volksbank-tirol-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Vorarlberg,at-volksbank-vorarlberg-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Wien,at-volksbank-wien-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Wise,at-wise-ob,SEPA_CREDIT_TRANSFER
DE,Aachener Bank,de-aachener-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Aktivbank AG,de-aktivbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Alxing-Brucker Genossenschaftsbank,de-alxingbruckergenossenschaftsbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bank 1 Saar,de-bank1saar-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bank für Kirche und Caritas,de-bankfurkircheundcaritas-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bank für Kirche und Diakonie - KD-Bank,de-bankfurkircheunddiakonie-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bank für Sozialwirtschaft AG,de-bankfursozialwirtschaft-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bankhaus Anton Hafner,de-bankhausantonhafner-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bankhaus Bauer,de-bankhausbaueraktiengeselshaft-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bankhaus Ellwanger & Geiger,de-bankhausellwangergeiger-ob,SEPA_CREDIT_TRANSFER
DE,Bankhaus Max Flessa,de-bankhausmaxflessa-ob,SEPA_CREDIT_TRANSFER
DE,Bankhaus Rautenschlein AG,de-bankhausrautenschlein-ob,SEPA_CREDIT_TRANSFER
DE,Bankhaus Werhahn,de-bankhauswerhahn-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bank im Bistum Essen,de-bankimbistumessen-ob,SEPA_CREDIT_TRANSFER
DE,BBBank,de-bbbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bensberger Bank,de-bensbergerbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bernhauser Bank,de-bernhauserbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Bopfinger Bank Sechta-Ries,de-bopfingersechtaries-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Brühler Bank,de-bruhler-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,BTV Bank für Tirol und Vorarlberg Zweigniederlassung Deutschland,de-btv-ob,SEPA_CREDIT_TRANSFER
DE,BW-Bank,de-bwbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,C24,de-c24-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Comdirect,de-comdirect-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Commerzbank,de-commerzbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Consorsbank,de-consorsbank-ob,SEPA_CREDIT_TRANSFER
DE,CVW-Privatbank,de-cvwprivatbank-ob,SEPA_CREDIT_TRANSFER
DE,Dettinger Bank,de-dettingerbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Deutsche Bank,de-deutschebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,1822direkt,de-direkt1822-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,DKB,de-dkb-ob,SEPA_CREDIT_TRANSFER
DE,DKM Darlehnskasse Münster,de-dkm-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Donner & Reuschel,de-donnerreuschel-ob,SEPA_CREDIT_TRANSFER
DE,Echterdinger Bank,de-echterdinger-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,EDEKABANK Hamburg,de-edekabank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,EthikBank,de-ethikbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Eurocity Bank,de-eurocitybank-ob,SEPA_CREDIT_TRANSFER
DE,Evangelische Bank,de-evangelischebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Evenord-Bank,de-evenordbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Finom,de-finom-ob,SEPA_CREDIT_TRANSFER
DE,Frankfurter Bankgesellschaft,de-frankfurterbankgesellschaft-ob,SEPA_CREDIT_TRANSFER
DE,Fürstlich Castell'sche Bank,de-furstlichcastellschebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Gabler-Saliter Bankgeschäft,de-gablersaliterbankgeschaft-ob,SEPA_CREDIT_TRANSFER
DE,Genossenschaftsbank München,de-genossenschaftsbankmunchen-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Genossenschaftsbank Weil im Schönbuch,de-genossenschaftsbankweilimschonbuch-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Gladbacher Bank,de-gladbacherbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,GLS Bank,de-glsbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,GRENKE BANK,de-grenkebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Hausbank München,de-hausbankmunchen-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Hoerner Bank,de-hoernerbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Hüttenberger Bank,de-huttenberger-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Internationales Bankhaus Bodensee,de-ibb-ob,SEPA_CREDIT_TRANSFER
DE,Ikano Bank,de-ikanobank-ob,SEPA_CREDIT_TRANSFER
DE,ING,de-ing-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Kontist,de-kontist-ob,SEPA_CREDIT_TRANSFER
DE,KT Bank,de-ktbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Kurhessische Landbank,de-kurhessischelandbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Landbank Horlofftal,de-landbankhorlofftal-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Landesbank Saar,de-landesbanksaar-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,levoBank,de-levobank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,LIGA Bank,de-ligabank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Märkische Bank,de-markische-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,Mendener Bank,de-mendenerbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,MERKUR PRIVATBANK,de-merkurprivatbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,MKB Mittelstandskreditbank,de-mkbmittelstandskreditbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,MLP Finanzdienstleistungen,de-mlpfinanzdienstleistungen-ob,SEPA_CREDIT_TRANSFER
DE,Münchner Bank,de-munchnerbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
DE,N26,de-n26-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
