Country,Bank,BankName value,Schemes
AT,Easybank,at-easybank-ob,SEPA_CREDIT_TRANSFER
AT,Bank Austria,at-bankaustria-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,BAWAG P.S.K.,at-bawagpsk-ob,SEPA_CREDIT_TRANSFER
AT,BKS Bank,at-bks-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,BTV,at-btv-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Erste Bank,at-erstebank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,N26,at-n26-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Oberbank,at-oberbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Raiffeisen Bank,at-raiffeisen-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
AT,Revolut,at-revolut-ob,SEPA_CREDIT_TRANSFER
AT,Volksbank Kärnten,at-volksbank-karnten-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Niederösterreich,at-volksbank-niederosterreich-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Oberösterreich,at-volksbank-oberosterreich-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Salzburg,at-volksbank-salzburg-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Steiermark,at-volksbank-steiermark-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Tirol,at-volksbank-tirol-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Vorarlberg,at-volksbank-vorarlberg-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Volksbank Wien,at-volksbank-wien-ob,"SEPA_CREDIT_TRANSFER,SWISS_DOMESTIC_CREDIT_TRANSFER"
AT,Wise,at-wise-ob,SEPA_CREDIT_TRANSFER
