Country,Bank,BankName value,Schemes
DK,Arbejdernes Landsbank,dk-arbejdernes-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,BankNordik,dk-banknordik-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Borbjerg Sparekasse,dk-borbjergsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Coop Bank,dk-coopbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Danske Andelskassers bank,dk-danskeandelskassersbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Danske Bank,dk-danskebank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Djurslands Bank,dk-djurslands-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Dragsholm Sparekasse,dk-dragsholmsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Facit Bank,dk-facitbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Fanø Sparekasse,dk-fanosparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Faster Andelskasse,dk-fasterandelskasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Forbrugsforeningen,dk-forbrugsforeningen-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Frørup Andelskasse,dk-frorupandelskasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Frøslev-Mollerup Sparekasse,dk-froslevmollerupsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sydjysk Sparekasse,dk-frossparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Fynske Bank,dk-fynskebank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,GrønlandsBANKEN,dk-gronlandsbanken-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Hvidbjerg Bank,dk-hvidbjergbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Ikano Bank,dk-ikanobank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Jyske Bank,dk-jyske-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Klim Sparekasse,dk-klimsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Kreditbanken,dk-kreditbanken-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Lægernes Bank,dk-laegernes-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Lån & Spar Bank A/S,dk-lansparbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Lollands Bank,dk-lollandsbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Maj Bank,dk-majbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Merkur Andelskasse,dk-merkurandelskasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Middelfart Sparekasse,dk-middelfartsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Møns Bank,dk-mons-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Nordea,dk-nordea-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS"
DK,Nordfyns Bank,dk-nordfyns-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Nykredit,dk-nykreditbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,PenSam Bank,dk-pensambank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Ringkjøbing Landbobank,dk-ringkjobinglandbobank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Rise Sparekasse,dk-riseflemloesesparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Rønde Sparekasse,dk-rondeparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,SEB,dk-seb-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Skjern Bank,dk-skjern-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sønderhå-Hørsted Sparekasse,dk-sonderhahorstedsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Balling,dk-sparekassenballing-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Bredebro,dk-sparekassenbredebro-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Djursland,dk-sparekassendjursland-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Kronjylland,dk-sparekassenkronjylland-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen for Nr. Nebel og Omegn,dk-sparekassennebelogomegn-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Sjælland-Fyn,dk-sparekassensjaellandfyn-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Thy,dk-sparekassenthy-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sparekassen Danmark,dk-sparekassenvendsyssel-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Spar Nord,dk-sparnordbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Stadil Sparekasse,dk-stadilsparekasse-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Sydbank,dk-sydbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
DK,Vestjysk Bank,dk-vestjyskbank-ob,"DANISH_DOMESTIC_CREDIT_TRANSFER,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_STRAKS,INSTANT_DANISH_DOMESTIC_CREDIT_TRANSFER_INTRADAG"
