Country,Bank,BankName value,Schemes
EE,LHV,ee-lhv-mobileid-ob,SEPA_CREDIT_TRANSFER
EE,LHV,ee-lhv-redirect-ob,SEPA_CREDIT_TRANSFER
EE,LHV,ee-lhv-smartid-ob,SEPA_CREDIT_TRANSFER
EE,Luminor,ee-luminor-ob,SEPA_CREDIT_TRANSFER
EE,Revolut,ee-revolut-ob,SEPA_CREDIT_TRANSFER
EE,SEB,ee-seb-mobileid-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
EE,SEB,ee-seb-redirect-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
EE,SEB,ee-seb-smartid-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
EE,Swedbank,ee-swedbank-redirect-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
EE,Swedbank,ee-swedbank-smartid-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
