Country,Bank,BankName value,Schemes
FI,Ålandsbanken,fi-alandsbanken-ob,SEPA_CREDIT_TRANSFER
FI,Danske Bank,fi-danskebank-ob,SEPA_CREDIT_TRANSFER
FI,N26,fi-n26-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
FI,Nordea,fi-nordea-oauth2,SEPA_CREDIT_TRANSFER
FI,Oma Säästöpankki,fi-omasp-ob,SEPA_CREDIT_TRANSFER
FI,OP,fi-opbank-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
FI,POP Pankki,fi-poppankki-ob,SEPA_CREDIT_TRANSFER
FI,Revolut,fi-revolut-ob,SEPA_CREDIT_TRANSFER
FI,Säästöpankki,fi-saastopankki-ob,SEPA_CREDIT_TRANSFER
FI,S-Pankki,fi-spankki-ob,SEPA_CREDIT_TRANSFER
