Country,Bank,BankName value,Schemes
GB,AIB (GB),uk-aib-oauth2,FASTER_PAYMENTS
GB,Bank of Ireland,uk-bankofireland-oauth2,FASTER_PAYMENTS
GB,Bank of Scotland,uk-bankofscotland-oauth2,FASTER_PAYMENTS
GB,Barclaycard,uk-barclaycard-ob,FASTER_PAYMENTS
GB,Barclays,uk-barclays-oauth2,FASTER_PAYMENTS
GB,Chase,uk-chase-ob,FASTER_PAYMENTS
GB,Danske Bank,uk-danskebank-oauth2,FASTER_PAYMENTS
GB,First Direct,uk-firstdirect-oauth2,FASTER_PAYMENTS
GB,AIB (NI) (Formerly First Trust),uk-firsttrust-oauth2,FASTER_PAYMENTS
GB,Halifax,uk-halifax-oauth2,FASTER_PAYMENTS
GB,HSBC,uk-hsbc-oauth2,FASTER_PAYMENTS
GB,Lloyds,uk-lloyds-oauth2,FASTER_PAYMENTS
GB,Monzo,uk-monzo-oauth2,FASTER_PAYMENTS
GB,Nationwide Bank,uk-nationwide-oauth2,FASTER_PAYMENTS
GB,NatWest,uk-natwest-oauth2,FASTER_PAYMENTS
GB,Royal Bank of Scotland,uk-rbs-oauth2,FASTER_PAYMENTS
GB,Revolut,uk-revolut-oauth2,FASTER_PAYMENTS
GB,Santander,uk-santander-oauth2,FASTER_PAYMENTS
GB,Starling,uk-starling-oauth2,FASTER_PAYMENTS
GB,Tesco Bank,uk-tesco-oauth2,FASTER_PAYMENTS
GB,TSB Bank,uk-tsb-oauth2,FASTER_PAYMENTS
GB,Ulster Bank,uk-ulster-oauth2,FASTER_PAYMENTS
GB,Wise,uk-wise-ob,FASTER_PAYMENTS
