Country,Bank,BankName value,Schemes
IT,Banca Capasso Antonio,it-allitude-03047-ob,SEPA_CREDIT_TRANSFER
IT,Hypo Tirol Bank,it-allitude-03151-ob,SEPA_CREDIT_TRANSFER
IT,Allianz Bank,it-allianz-ob,SEPA_CREDIT_TRANSFER
IT,Banca Promos,it-allitude-03265-ob,SEPA_CREDIT_TRANSFER
IT,Banca Galileo,it-allitude-03267-ob,SEPA_CREDIT_TRANSFER
IT,Prader Bank,it-allitude-03306-ob,SEPA_CREDIT_TRANSFER
IT,Banca di Macerata,it-allitude-03317-ob,SEPA_CREDIT_TRANSFER
IT,Alto Adige Banca – Sudtirol Bank,it-allitude-03374-ob,SEPA_CREDIT_TRANSFER
IT,Credito Lombardo Veneto,it-allitude-03430-ob,SEPA_CREDIT_TRANSFER
IT,Guber Banca,it-allitude-03656-ob,SEPA_CREDIT_TRANSFER
IT,Banca Popolare delle Provincie Molisane,it-allitude-05033-ob,SEPA_CREDIT_TRANSFER
IT,Banca Popolare di Lajatico,it-allitude-05232-ob,SEPA_CREDIT_TRANSFER
IT,Banca Popolare del Cassinate,it-allitude-05372-ob,SEPA_CREDIT_TRANSFER
IT,Banca Popolare di Cortona,it-allitude-05496-ob,SEPA_CREDIT_TRANSFER
IT,Banca di Risparmio di Savigliano,it-allitude-06305-ob,SEPA_CREDIT_TRANSFER
IT,BCC del Circeo e Privernate,it-allitude-07017-ob,SEPA_CREDIT_TRANSFER
IT,BCC dell'Alta Murgia,it-allitude-07056-ob,SEPA_CREDIT_TRANSFER
IT,BCC dei Castelli e degli Iblei,it-allitude-07078-ob,SEPA_CREDIT_TRANSFER
IT,BCC Malatestiana,it-allitude-07090-ob,SEPA_CREDIT_TRANSFER
IT,BBCC dei Castelli Romani,it-allitude-07092-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale di Ledro BCC,it-allitude-08011-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Alto Garda BCC,it-allitude-08016-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Alta Valsugana BCC,it-allitude-08026-ob,SEPA_CREDIT_TRANSFER
IT,CR Adamello Giudicarie Valsabbia Paganella,it-allitude-08078-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale della Bassa Valsugana BCC,it-allitude-08102-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Dolomiti di Fassa Primiero e Belluno BCC,it-allitude-08140-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Val di Sole BCC,it-allitude-08163-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Alta Valsugana,it-allitude-08178-ob,SEPA_CREDIT_TRANSFER
IT,BCC Cassa Rurale di Val di Fiemme,it-allitude-08184-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Renon,it-allitude-08187-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Novella e Alta Anaunia BCC,it-allitude-08200-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Raiffeisen di San Martino in Passiria,it-allitude-08226-ob,SEPA_CREDIT_TRANSFER
IT,Credito Cooperativo Centro Calabria,it-allitude-08258-ob,SEPA_CREDIT_TRANSFER
IT,Cassa Rurale Val di Non BCC,it-allitude-08282-ob,SEPA_CREDIT_TRANSFER
