Country,Bank,BankName value,Schemes
NL,ABN AMRO,nl-abnamro-ob,SEPA_CREDIT_TRANSFER
NL,ASN Bank,nl-asnbank-oauth2,SEPA_CREDIT_TRANSFER
NL,bunq,nl-bunq-oauth2,SEPA_CREDIT_TRANSFER
NL,ING,nl-ing-ob,"SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER"
NL,Knab,nl-knab-ob,SEPA_CREDIT_TRANSFER
NL,N26,nl-n26-ob,"SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER"
NL,Rabobank,nl-rabobank-ob,SEPA_CREDIT_TRANSFER
NL,RegioBank,nl-regiobank-oauth2,SEPA_CREDIT_TRANSFER
NL,Revolut,nl-revolut-ob,SEPA_CREDIT_TRANSFER
NL,SNS,nl-snsbank-oauth2,SEPA_CREDIT_TRANSFER
NL,Triodos,nl-triodos-ob,SEPA_CREDIT_TRANSFER
