Country,Bank,BankName value,Schemes
NO,Aasen Sparebank,no-aasen-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Askim og Spydeberg Sparebank,no-askim-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Aurskog Sparebank,no-aurskog-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Berg Sparebank,no-berg-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Bien Sparebank,no-bien-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Birkenes Sparebank,no-birkenes-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Bjugn Sparebank,no-bjugn-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,BN Bank AS,no-bnbank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,BRAbank,no-brabank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Cultura Bank,no-cultura-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
