Country,Bank,BankName value,Schemes
PL,Alior Bank,pl-alior-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,BNP Paribas,pl-bnpparibas-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,Credit Agricole,pl-creditagricole-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,ING Bank Śląski,pl-ing-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,mBank,pl-mbank-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,Bank Millennium,pl-millennium-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,Bank Pekao,pl-pekao-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,PKO BP,pl-pkobp-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,Santander,pl-santander-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
PL,Wise,pl-wise-ob,"SEPA_CREDIT_TRANSFER,INSTANT_POLISH_DOMESTIC_CREDIT_TRANSFER,POLISH_DOMESTIC_CREDIT_TRANSFER"
