Country,Bank,BankName value,Schemes
PT,BBVA,pt-bbva-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Banco de Investimento Global,pt-big-oauth2,SEPA_CREDIT_TRANSFER
PT,Abanca,pt-abanca-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Activo Bank,pt-activobank-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,"Banco Atlântico Europa, SA",pt-atlanticoeuropa-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Banco BPI,pt-bancobpi-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Banco Montepio,pt-bancomontepio-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Bankinter,pt-bankinter-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Caixa Geral de Depósitos,pt-caixa-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Crédito Agricola,pt-creditoagricola-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,EuroBic,pt-eurobic-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Millennium BCP,pt-millenniumbcp-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,N26,pt-n26-ob,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Novo Banco,pt-novobanco-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Revolut,pt-revolut-ob,SEPA_CREDIT_TRANSFER
PT,Santander,pt-santander-oauth2,"SEPA_CREDIT_TRANSFER,SEPA_INSTANT_CREDIT_TRANSFER"
PT,Wise,pt-wise-ob,SEPA_CREDIT_TRANSFER
