market,display_bank_name,bank_name,pis_capabilities
FR,Axa Banque,fr-axa-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,BNP Paribas,fr-bnpparibas-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,BoursoBank (Boursorama),fr-boursorama-ob,"{PIS_FUTURE_DATE,SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Banque Populaire Méditerranée,fr-bpmediterranee-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,BRED Banque Populaire,fr-bredbanquepopulaire-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Aquitaine Poitou-Charentes,fr-caisseepargneaquitaine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Auvergne et Limousin,fr-caisseepargneauvergne-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Bourgogne Franche-Comté,fr-caisseepargnebourgognefranchecomte-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Bretagne-Pays De Loire,fr-caisseepargnebretagne-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Côte d'Azur,fr-caisseepargnecoteazur-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Grand Est Europe,fr-caisseepargnegrandesteurope-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Ile De France,fr-caisseepargneiledefrance-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Languedoc-Roussillon,fr-caisseepargnelanguedocroussillon-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Loire-Centre,fr-caisseepargneloirecentre-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Loire Drôme Ardèche,fr-caisseepargneloiredromeardeche-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Midi-Pyrénées,fr-caisseepargnemidipyrenees-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d’Epargne Hauts de France,fr-caisseepargnenordfranceeurope-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Normandie,fr-caisseepargnenormandie-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d’Epargne CEPAC,fr-caisseepargneprovencealpescorse-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Caisse d'Epargne Rhône Alpes,fr-caisseepargnerhonealpes-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,CCF,fr-ccf-ob,{SEPA_CREDIT_TRANSFER}
FR,CIC,fr-cic-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Alpes Provence,fr-creditagricolealpesprovence-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Alsace Vosges,fr-creditagricolealsacevosges-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Atlantique Vendée,fr-creditagricoleatlantiquevendee-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Banque Chalus,fr-creditagricolebanquechalus-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Brie Picardie,fr-creditagricolebriepicardie-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Centre-Est,fr-creditagricolecentreest-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Centre France,fr-creditagricolecentrefrance-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Centre Loire,fr-creditagricolecentreloire-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Centre Ouest,fr-creditagricolecentreouest-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Champagne-Bourgogne,fr-creditagricolechamoagnebourgogne-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Charente-Maritime Deux-Sèvres,fr-creditagricolecharentemeriyimedeuxsevres-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Charente Périgord,fr-creditagricolecharenteperigord-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole des Côtes d'Armor,fr-creditagricolecotesdarmor-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole d'Aquitaine,fr-creditagricoledaquitaine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole d'Ille et Vilaine,fr-creditagricoledilleetvilaine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Finistère,fr-creditagricolefinistere-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Franche-Comté,fr-creditagricolefranchecomte-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Guadeloupe,fr-creditagricoleguadeloupe-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de la Corse,fr-creditagricolelacorse-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Martinique-Guyane,fr-creditagricolelamartiniqueetdelaguyane-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Languedoc,fr-creditagricolelanguedoc-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
